,Date,Day(Eng),Day(Ghomala)
0,Ŋkə̂mmghě 1 2025,Wednesday,Ntâmgǒ
1,Ŋkə̂mmghě 2 2025,Thursday,Tyə́'pfô
2,Ŋkə̂mmghě 3 2025,Friday,Shyə̂ŋkǔ'
3,Ŋkə̂mmghě 4 2025,Saturday,Dzə̂dzə
4,Ŋkə̂mmghě 5 2025,Sunday,Ntâmdzə
5,Ŋkə̂mmghě 6 2025,Monday,Sɛ̂sǔ
6,Ŋkə̂mmghě 7 2025,Tuesday,Gɔ̂sʉɔ̌
7,Ŋkə̂mmghě 8 2025,Wednesday,Dzə̂mtɔ̌
8,Ŋkə̂mmghě 9 2025,Thursday,Ntâmgǒ
9,Ŋkə̂mmghě 10 2025,Friday,Tyə́'pfô
10,Ŋkə̂mmghě 11 2025,Saturday,Shyə̂ŋkǔ'
11,Ŋkə̂mmghě 12 2025,Sunday,Dzə̂dzə
12,Ŋkə̂mmghě 13 2025,Monday,Ntâmdzə
13,Ŋkə̂mmghě 14 2025,Tuesday,Sɛ̂sǔ
14,Ŋkə̂mmghě 15 2025,Wednesday,Gɔ̂sʉɔ̌
15,Ŋkə̂mmghě 16 2025,Thursday,Dzə̂mtɔ̌
16,Ŋkə̂mmghě 17 2025,Friday,Ntâmgǒ
17,Ŋkə̂mmghě 18 2025,Saturday,Tyə́'pfô
18,Ŋkə̂mmghě 19 2025,Sunday,Shyə̂ŋkǔ'
19,Ŋkə̂mmghě 20 2025,Monday,Dzə̂dzə
20,Ŋkə̂mmghě 21 2025,Tuesday,Ntâmdzə
21,Ŋkə̂mmghě 22 2025,Wednesday,Sɛ̂sǔ
22,Ŋkə̂mmghě 23 2025,Thursday,Gɔ̂sʉɔ̌
23,Ŋkə̂mmghě 24 2025,Friday,Dzə̂mtɔ̌
24,Ŋkə̂mmghě 25 2025,Saturday,Ntâmgǒ
25,Ŋkə̂mmghě 26 2025,Sunday,Tyə́'pfô
26,Ŋkə̂mmghě 27 2025,Monday,Shyə̂ŋkǔ'
27,Ŋkə̂mmghě 28 2025,Tuesday,Dzə̂dzə
28,Ŋkə̂mmghě 29 2025,Wednesday,Ntâmdzə
29,Ŋkə̂mmghě 30 2025,Thursday,Sɛ̂sǔ
30,Ŋkə̂mmghě 31 2025,Friday,Gɔ̂sʉɔ̌
